Parameters : 

                   

populationSize = 40

maxRules = 60

maxGenerations = 2000

mutationRate = 0.07

bidPercentage = 0.1

rewardAmount = 1.5

repeatCount = 30

taxRate = 0.15

negativeRewardFactor = 0.6

strengthThreshold = 19

                   

Final Rules:

                   

Run : 0

Final High Strength Rules:
ALL RULES 

Rule 1: Condition = 11###0, Action = 0, Strength = 11.4231

Rule 2: Condition = 01#1##, Action = 1, Strength = 11.3383

Rule 3: Condition = 10##0#, Action = 0, Strength = 11.3074

Rule 4: Condition = 10##1#, Action = 1, Strength = 11.3071

Rule 5: Condition = 001###, Action = 1, Strength = 11.0103

Rule 6: Condition = 0#####, Action = 0, Strength = 10.7249

Rule 7: Condition = #1#1#0, Action = 0, Strength = 11.3229

Rule 8: Condition = 00##0#, Action = 1, Strength = 11.3229

Rule 9: Condition = 000#0#, Action = 0, Strength = 11.1589

Rule 10: Condition = 10####, Action = 1, Strength = 11.1589

Rule 11: Condition = 11####, Action = 0, Strength = 11.074

Rule 12: Condition = 0####0, Action = 0, Strength = 11.074

Rule 13: Condition = 11####, Action = 1, Strength = 11.2167

Rule 14: Condition = 011##0, Action = 0, Strength = 11.2167

Rule 15: Condition = 1100#0, Action = 1, Strength = 5.75516

Rule 16: Condition = 10#11#, Action = 1, Strength = 5.75516

Rule 17: Condition = 101##0, Action = 0, Strength = 11.3653

Rule 18: Condition = 11##0#, Action = 0, Strength = 11.3653

Rule 19: Condition = 001###, Action = 1, Strength = 10.8676

Rule 20: Condition = 0#####, Action = 0, Strength = 10.8676

Rule 21: Condition = 0####1, Action = 0, Strength = 11.016

Rule 22: Condition = 11##1#, Action = 1, Strength = 11.016

Rule 23: Condition = 00##0#, Action = 1, Strength = 11.1589

Rule 24: Condition = 101###, Action = 0, Strength = 11.1589

Rule 25: Condition = 1##1##, Action = 0, Strength = 11.3229

Rule 26: Condition = 01##0#, Action = 1, Strength = 11.3229

Rule 27: Condition = 1#010#, Action = 1, Strength = 0.0840721

Rule 28: Condition = 0#####, Action = 0, Strength = 0.0840721

Rule 29: Condition = 1#1###, Action = 0, Strength = 11.0161

Rule 30: Condition = 00####, Action = 0, Strength = 11.0161

Rule 31: Condition = 001#0#, Action = 0, Strength = 11.1589

Rule 32: Condition = 10####, Action = 0, Strength = 11.1589

Rule 33: Condition = 1#####, Action = 0, Strength = 10.518

Rule 34: Condition = 0#####, Action = 0, Strength = 10.518

Rule 35: Condition = 10#11#, Action = 1, Strength = 5.71283

Rule 36: Condition = 01##1#, Action = 1, Strength = 5.71283

Rule 37: Condition = 01##1#, Action = 0, Strength = 11.016

Rule 38: Condition = 10####, Action = 1, Strength = 11.016

Rule 39: Condition = 10#0##, Action = 1, Strength = 10.8091

Rule 40: Condition = 1###1#, Action = 1, Strength = 10.8091

Rule 41: Condition = 11##1#, Action = 1, Strength = 11.3651

Rule 42: Condition = 10###0, Action = 0, Strength = 11.3651

Rule 43: Condition = 01##1#, Action = 1, Strength = 11.3227

Rule 44: Condition = 11#10#, Action = 1, Strength = 11.3227

Rule 45: Condition = 10#1##, Action = 1, Strength = 11.3227

Rule 46: Condition = 01##1#, Action = 1, Strength = 11.3227

Rule 47: Condition = 00110#, Action = 1, Strength = 11.1589

Rule 48: Condition = #0####, Action = 0, Strength = 11.1589

Rule 49: Condition = 0#00##, Action = 0, Strength = 10.7249

Rule 50: Condition = ######, Action = 0, Strength = 10.7249

